[META] fileB_1m.bin.meta.json: 256 blocos x 4096 B  sha256=b41b6122bd779fcd...
[SEEDER] 256 blocos carregados de 'fileB_1m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 0 -> 127.0.0.1:40952
[SERVER] bloco 1 -> 127.0.0.1:40960
[SERVER] bloco 2 -> 127.0.0.1:40970
[SERVER] bloco 3 -> 127.0.0.1:40976
[SERVER] bloco 4 -> 127.0.0.1:40990
[SERVER] bloco 5 -> 127.0.0.1:40998
[SERVER] bloco 6 -> 127.0.0.1:41000
[SERVER] bloco 7 -> 127.0.0.1:41006
[SERVER] bloco 8 -> 127.0.0.1:41018
[SERVER] bloco 9 -> 127.0.0.1:41020
[SERVER] bloco 10 -> 127.0.0.1:41024
[SERVER] bloco 11 -> 127.0.0.1:41028
[SERVER] bloco 12 -> 127.0.0.1:41032
[SERVER] bloco 13 -> 127.0.0.1:41034
[SERVER] bloco 14 -> 127.0.0.1:41044
[SERVER] bloco 15 -> 127.0.0.1:41060
[SERVER] bloco 16 -> 127.0.0.1:41062
[SERVER] bloco 17 -> 127.0.0.1:41074
[SERVER] bloco 18 -> 127.0.0.1:41090
[SERVER] bloco 19 -> 127.0.0.1:41104
[SERVER] bloco 20 -> 127.0.0.1:41110
[SERVER] bloco 21 -> 127.0.0.1:41120
[SERVER] bloco 22 -> 127.0.0.1:41130
[SERVER] bloco 23 -> 127.0.0.1:41136
[SERVER] bloco 24 -> 127.0.0.1:41152
[SERVER] bloco 25 -> 127.0.0.1:41156
[SERVER] bloco 26 -> 127.0.0.1:41166
[SERVER] bloco 27 -> 127.0.0.1:41170
[SERVER] bloco 28 -> 127.0.0.1:41172
[SERVER] bloco 29 -> 127.0.0.1:41182
[SERVER] bloco 30 -> 127.0.0.1:41192
[SERVER] bloco 31 -> 127.0.0.1:41196
[SERVER] bloco 32 -> 127.0.0.1:41200
[SERVER] bloco 33 -> 127.0.0.1:41210
[SERVER] bloco 34 -> 127.0.0.1:41212
[SERVER] bloco 35 -> 127.0.0.1:41214
[SERVER] bloco 36 -> 127.0.0.1:41228
[SERVER] bloco 37 -> 127.0.0.1:41242
[SERVER] bloco 38 -> 127.0.0.1:41246
[SERVER] bloco 39 -> 127.0.0.1:41258
[SERVER] bloco 40 -> 127.0.0.1:41266
[SERVER] bloco 41 -> 127.0.0.1:41270
[SERVER] bloco 42 -> 127.0.0.1:41282
[SERVER] bloco 43 -> 127.0.0.1:41298
[SERVER] bloco 44 -> 127.0.0.1:41304
[SERVER] bloco 45 -> 127.0.0.1:41318
[SERVER] bloco 46 -> 127.0.0.1:41332
[SERVER] bloco 47 -> 127.0.0.1:41334
[SERVER] bloco 48 -> 127.0.0.1:41350
[SERVER] bloco 49 -> 127.0.0.1:41354
[SERVER] bloco 50 -> 127.0.0.1:41356
[SERVER] bloco 51 -> 127.0.0.1:41370
[SERVER] bloco 52 -> 127.0.0.1:41378
[SERVER] bloco 53 -> 127.0.0.1:41388
[SERVER] bloco 54 -> 127.0.0.1:41396
[SERVER] bloco 55 -> 127.0.0.1:41398
[SERVER] bloco 56 -> 127.0.0.1:41414
[SERVER] bloco 57 -> 127.0.0.1:41430
[SERVER] bloco 58 -> 127.0.0.1:41436
[SERVER] bloco 59 -> 127.0.0.1:41442
[SERVER] bloco 60 -> 127.0.0.1:41444
[SERVER] bloco 61 -> 127.0.0.1:41446
[SERVER] bloco 62 -> 127.0.0.1:41448
[SERVER] bloco 63 -> 127.0.0.1:41454
[SERVER] bloco 64 -> 127.0.0.1:41466
[SERVER] bloco 65 -> 127.0.0.1:41476
[SERVER] bloco 66 -> 127.0.0.1:41490
[SERVER] bloco 67 -> 127.0.0.1:41498
[SERVER] bloco 68 -> 127.0.0.1:41502
[SERVER] bloco 69 -> 127.0.0.1:41516
[SERVER] bloco 70 -> 127.0.0.1:41524
[SERVER] bloco 71 -> 127.0.0.1:41528
[SERVER] bloco 72 -> 127.0.0.1:41540
[SERVER] bloco 73 -> 127.0.0.1:41542
[SERVER] bloco 74 -> 127.0.0.1:41548
[SERVER] bloco 75 -> 127.0.0.1:41560
[SERVER] bloco 76 -> 127.0.0.1:41572
[SERVER] bloco 77 -> 127.0.0.1:41582
[SERVER] bloco 78 -> 127.0.0.1:41584
[SERVER] bloco 79 -> 127.0.0.1:41588
[SERVER] bloco 80 -> 127.0.0.1:41594
[SERVER] bloco 81 -> 127.0.0.1:41596
[SERVER] bloco 82 -> 127.0.0.1:41612
[SERVER] bloco 83 -> 127.0.0.1:41628
[SERVER] bloco 84 -> 127.0.0.1:41638
[SERVER] bloco 85 -> 127.0.0.1:41648
[SERVER] bloco 86 -> 127.0.0.1:41660
[SERVER] bloco 87 -> 127.0.0.1:41674
[SERVER] bloco 88 -> 127.0.0.1:41682
[SERVER] bloco 89 -> 127.0.0.1:41692
[SERVER] bloco 90 -> 127.0.0.1:41704
[SERVER] bloco 91 -> 127.0.0.1:41710
[SERVER] bloco 92 -> 127.0.0.1:41722
[SERVER] bloco 93 -> 127.0.0.1:41730
[SERVER] bloco 94 -> 127.0.0.1:41742
[SERVER] bloco 95 -> 127.0.0.1:41754
[SERVER] bloco 96 -> 127.0.0.1:41768
[SERVER] bloco 97 -> 127.0.0.1:41772
[SERVER] bloco 98 -> 127.0.0.1:41784
[SERVER] bloco 99 -> 127.0.0.1:41796
[SERVER] bloco 100 -> 127.0.0.1:41800
[SERVER] bloco 101 -> 127.0.0.1:41816
[SERVER] bloco 102 -> 127.0.0.1:41828
[SERVER] bloco 103 -> 127.0.0.1:41842
[SERVER] bloco 104 -> 127.0.0.1:41852
[SERVER] bloco 105 -> 127.0.0.1:41866
[SERVER] bloco 106 -> 127.0.0.1:41872
[SERVER] bloco 107 -> 127.0.0.1:41888
[SERVER] bloco 108 -> 127.0.0.1:41896
[SERVER] bloco 109 -> 127.0.0.1:41910
[SERVER] bloco 110 -> 127.0.0.1:41920
[SERVER] bloco 111 -> 127.0.0.1:41930
[SERVER] bloco 112 -> 127.0.0.1:41940
[SERVER] bloco 113 -> 127.0.0.1:41952
[SERVER] bloco 114 -> 127.0.0.1:41958
[SERVER] bloco 115 -> 127.0.0.1:41962
[SERVER] bloco 116 -> 127.0.0.1:41964
[SERVER] bloco 117 -> 127.0.0.1:41966
[SERVER] bloco 118 -> 127.0.0.1:41972
[SERVER] bloco 119 -> 127.0.0.1:41978
[SERVER] bloco 120 -> 127.0.0.1:41992
[SERVER] bloco 121 -> 127.0.0.1:42006
[SERVER] bloco 122 -> 127.0.0.1:42016
[SERVER] bloco 123 -> 127.0.0.1:42028
[SERVER] bloco 124 -> 127.0.0.1:42032
[SERVER] bloco 125 -> 127.0.0.1:42034
[SERVER] bloco 126 -> 127.0.0.1:42042
[SERVER] bloco 127 -> 127.0.0.1:42056
[SERVER] bloco 128 -> 127.0.0.1:42064
[SERVER] bloco 129 -> 127.0.0.1:42076
[SERVER] bloco 130 -> 127.0.0.1:42084
[SERVER] bloco 131 -> 127.0.0.1:42094
[SERVER] bloco 132 -> 127.0.0.1:42098
[SERVER] bloco 133 -> 127.0.0.1:42106
[SERVER] bloco 134 -> 127.0.0.1:42120
[SERVER] bloco 135 -> 127.0.0.1:42122
[SERVER] bloco 136 -> 127.0.0.1:42132
[SERVER] bloco 137 -> 127.0.0.1:42140
[SERVER] bloco 138 -> 127.0.0.1:42148
[SERVER] bloco 139 -> 127.0.0.1:42162
[SERVER] bloco 140 -> 127.0.0.1:42170
[SERVER] bloco 141 -> 127.0.0.1:42180
[SERVER] bloco 142 -> 127.0.0.1:42188
[SERVER] bloco 143 -> 127.0.0.1:42204
[SERVER] bloco 144 -> 127.0.0.1:42218
