[META] fileB_1m.bin.meta.json: 256 blocos x 4096 B  sha256=b41b6122bd779fcd...
[SEEDER] 256 blocos carregados de 'fileB_1m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 0 -> 127.0.0.1:44414
[SERVER] bloco 1 -> 127.0.0.1:44424
[SERVER] bloco 2 -> 127.0.0.1:44440
[SERVER] bloco 3 -> 127.0.0.1:44442
[SERVER] bloco 4 -> 127.0.0.1:44448
[SERVER] bloco 5 -> 127.0.0.1:44456
[SERVER] bloco 6 -> 127.0.0.1:44464
[SERVER] bloco 7 -> 127.0.0.1:44470
[SERVER] bloco 8 -> 127.0.0.1:44480
[SERVER] bloco 9 -> 127.0.0.1:44496
[SERVER] bloco 10 -> 127.0.0.1:44504
[SERVER] bloco 11 -> 127.0.0.1:44512
[SERVER] bloco 12 -> 127.0.0.1:44518
[SERVER] bloco 13 -> 127.0.0.1:44532
[SERVER] bloco 14 -> 127.0.0.1:44540
[SERVER] bloco 15 -> 127.0.0.1:44550
[SERVER] bloco 16 -> 127.0.0.1:44564
[SERVER] bloco 17 -> 127.0.0.1:44580
[SERVER] bloco 18 -> 127.0.0.1:44592
[SERVER] bloco 19 -> 127.0.0.1:44606
[SERVER] bloco 20 -> 127.0.0.1:44614
[SERVER] bloco 21 -> 127.0.0.1:44628
[SERVER] bloco 22 -> 127.0.0.1:44640
[SERVER] bloco 23 -> 127.0.0.1:44648
[SERVER] bloco 24 -> 127.0.0.1:44664
[SERVER] bloco 25 -> 127.0.0.1:44668
[SERVER] bloco 26 -> 127.0.0.1:44680
[SERVER] bloco 27 -> 127.0.0.1:44696
[SERVER] bloco 28 -> 127.0.0.1:44708
[SERVER] bloco 29 -> 127.0.0.1:44712
[SERVER] bloco 30 -> 127.0.0.1:44716
[SERVER] bloco 31 -> 127.0.0.1:44732
[SERVER] bloco 32 -> 127.0.0.1:44738
[SERVER] bloco 33 -> 127.0.0.1:44752
[SERVER] bloco 34 -> 127.0.0.1:44762
[SERVER] bloco 35 -> 127.0.0.1:44764
[SERVER] bloco 36 -> 127.0.0.1:44768
[SERVER] bloco 37 -> 127.0.0.1:44772
[SERVER] bloco 38 -> 127.0.0.1:44780
[SERVER] bloco 39 -> 127.0.0.1:44788
[SERVER] bloco 40 -> 127.0.0.1:44800
[SERVER] bloco 41 -> 127.0.0.1:44812
[SERVER] bloco 42 -> 127.0.0.1:44818
[SERVER] bloco 43 -> 127.0.0.1:44834
[SERVER] bloco 44 -> 127.0.0.1:44846
[SERVER] bloco 45 -> 127.0.0.1:44858
[SERVER] bloco 46 -> 127.0.0.1:44860
[SERVER] bloco 47 -> 127.0.0.1:44864
[SERVER] bloco 48 -> 127.0.0.1:44874
[SERVER] bloco 49 -> 127.0.0.1:44876
[SERVER] bloco 50 -> 127.0.0.1:44892
[SERVER] bloco 51 -> 127.0.0.1:44894
[SERVER] bloco 52 -> 127.0.0.1:44910
[SERVER] bloco 53 -> 127.0.0.1:44926
[SERVER] bloco 54 -> 127.0.0.1:44940
[SERVER] bloco 55 -> 127.0.0.1:44956
[SERVER] bloco 56 -> 127.0.0.1:44964
[SERVER] bloco 57 -> 127.0.0.1:44966
[SERVER] bloco 58 -> 127.0.0.1:44974
[SERVER] bloco 59 -> 127.0.0.1:44978
[SERVER] bloco 60 -> 127.0.0.1:44988
[SERVER] bloco 61 -> 127.0.0.1:44998
[SERVER] bloco 62 -> 127.0.0.1:45010
[SERVER] bloco 63 -> 127.0.0.1:45020
[SERVER] bloco 64 -> 127.0.0.1:45026
[SERVER] bloco 65 -> 127.0.0.1:45032
[SERVER] bloco 66 -> 127.0.0.1:45042
[SERVER] bloco 67 -> 127.0.0.1:45048
[SERVER] bloco 68 -> 127.0.0.1:45058
[SERVER] bloco 69 -> 127.0.0.1:45066
[SERVER] bloco 70 -> 127.0.0.1:45080
[SERVER] bloco 71 -> 127.0.0.1:45084
[SERVER] bloco 72 -> 127.0.0.1:45088
[SERVER] bloco 73 -> 127.0.0.1:45102
[SERVER] bloco 74 -> 127.0.0.1:45118
[SERVER] bloco 75 -> 127.0.0.1:45130
[SERVER] bloco 76 -> 127.0.0.1:45140
[SERVER] bloco 77 -> 127.0.0.1:45146
[SERVER] bloco 78 -> 127.0.0.1:45158
[SERVER] bloco 79 -> 127.0.0.1:45168
[SERVER] bloco 80 -> 127.0.0.1:45176
[SERVER] bloco 81 -> 127.0.0.1:45178
[SERVER] bloco 82 -> 127.0.0.1:45180
[SERVER] bloco 83 -> 127.0.0.1:45188
[SERVER] bloco 84 -> 127.0.0.1:45192
[SERVER] bloco 85 -> 127.0.0.1:45202
[SERVER] bloco 86 -> 127.0.0.1:45206
[SERVER] bloco 87 -> 127.0.0.1:45222
[SERVER] bloco 88 -> 127.0.0.1:45228
[SERVER] bloco 89 -> 127.0.0.1:45240
[SERVER] bloco 90 -> 127.0.0.1:45250
[SERVER] bloco 91 -> 127.0.0.1:45262
[SERVER] bloco 92 -> 127.0.0.1:45264
[SERVER] bloco 93 -> 127.0.0.1:45272
[SERVER] bloco 94 -> 127.0.0.1:45286
[SERVER] bloco 95 -> 127.0.0.1:45300
[SERVER] bloco 96 -> 127.0.0.1:45312
[SERVER] bloco 97 -> 127.0.0.1:45314
[SERVER] bloco 98 -> 127.0.0.1:45328
[SERVER] bloco 99 -> 127.0.0.1:45340
[SERVER] bloco 100 -> 127.0.0.1:45350
[SERVER] bloco 101 -> 127.0.0.1:45362
[SERVER] bloco 102 -> 127.0.0.1:45364
[SERVER] bloco 103 -> 127.0.0.1:45372
[SERVER] bloco 104 -> 127.0.0.1:45376
[SERVER] bloco 105 -> 127.0.0.1:45386
[SERVER] bloco 106 -> 127.0.0.1:45388
[SERVER] bloco 107 -> 127.0.0.1:45398
[SERVER] bloco 108 -> 127.0.0.1:45414
[SERVER] bloco 109 -> 127.0.0.1:45420
[SERVER] bloco 110 -> 127.0.0.1:45432
[SERVER] bloco 111 -> 127.0.0.1:45436
[SERVER] bloco 112 -> 127.0.0.1:45438
[SERVER] bloco 113 -> 127.0.0.1:45446
[SERVER] bloco 114 -> 127.0.0.1:45456
[SERVER] bloco 115 -> 127.0.0.1:45472
[SERVER] bloco 116 -> 127.0.0.1:45478
[SERVER] bloco 117 -> 127.0.0.1:45480
[SERVER] bloco 118 -> 127.0.0.1:45486
[SERVER] bloco 119 -> 127.0.0.1:45488
[SERVER] bloco 120 -> 127.0.0.1:45490
[SERVER] bloco 121 -> 127.0.0.1:45506
[SERVER] bloco 122 -> 127.0.0.1:45510
[SERVER] bloco 123 -> 127.0.0.1:45526
[SERVER] bloco 124 -> 127.0.0.1:45530
[SERVER] bloco 125 -> 127.0.0.1:45538
[SERVER] bloco 126 -> 127.0.0.1:45540
[SERVER] bloco 127 -> 127.0.0.1:45542
[SERVER] bloco 128 -> 127.0.0.1:45556
[SERVER] bloco 129 -> 127.0.0.1:45560
[SERVER] bloco 130 -> 127.0.0.1:45572
[SERVER] bloco 131 -> 127.0.0.1:45582
[SERVER] bloco 132 -> 127.0.0.1:45594
[SERVER] bloco 133 -> 127.0.0.1:45600
[SERVER] bloco 134 -> 127.0.0.1:45610
[SERVER] bloco 135 -> 127.0.0.1:45614
[SERVER] bloco 136 -> 127.0.0.1:45624
[SERVER] bloco 137 -> 127.0.0.1:45636
[SERVER] bloco 138 -> 127.0.0.1:45648
[SERVER] bloco 139 -> 127.0.0.1:45658
[SERVER] bloco 140 -> 127.0.0.1:45664
[SERVER] bloco 141 -> 127.0.0.1:45674
[SERVER] bloco 142 -> 127.0.0.1:45690
[SERVER] bloco 143 -> 127.0.0.1:45696
[SERVER] bloco 144 -> 127.0.0.1:45700
[SERVER] bloco 145 -> 127.0.0.1:45704
[SERVER] bloco 146 -> 127.0.0.1:45712
[SERVER] bloco 147 -> 127.0.0.1:45728
[SERVER] bloco 148 -> 127.0.0.1:45738
[SERVER] bloco 149 -> 127.0.0.1:45754
[SERVER] bloco 150 -> 127.0.0.1:45760
[SERVER] bloco 151 -> 127.0.0.1:45770
[SERVER] bloco 152 -> 127.0.0.1:45774
[SERVER] bloco 153 -> 127.0.0.1:45778
[SERVER] bloco 154 -> 127.0.0.1:45782
[SERVER] bloco 155 -> 127.0.0.1:45796
[SERVER] bloco 156 -> 127.0.0.1:45804
[SERVER] bloco 157 -> 127.0.0.1:45806
[SERVER] bloco 158 -> 127.0.0.1:45812
[SERVER] bloco 159 -> 127.0.0.1:45820
[SERVER] bloco 160 -> 127.0.0.1:45824
[SERVER] bloco 161 -> 127.0.0.1:45826
[SERVER] bloco 162 -> 127.0.0.1:45836
[SERVER] bloco 163 -> 127.0.0.1:45840
[SERVER] bloco 164 -> 127.0.0.1:45844
[SERVER] bloco 165 -> 127.0.0.1:45856
[SERVER] bloco 166 -> 127.0.0.1:45868
[SERVER] bloco 167 -> 127.0.0.1:45878
[SERVER] bloco 168 -> 127.0.0.1:45894
[SERVER] bloco 169 -> 127.0.0.1:45896
[SERVER] bloco 170 -> 127.0.0.1:45908
[SERVER] bloco 171 -> 127.0.0.1:45918
[SERVER] bloco 172 -> 127.0.0.1:45922
[SERVER] bloco 173 -> 127.0.0.1:45930
[SERVER] bloco 174 -> 127.0.0.1:45940
[SERVER] bloco 175 -> 127.0.0.1:45944
[SERVER] bloco 176 -> 127.0.0.1:45960
[SERVER] bloco 177 -> 127.0.0.1:45970
[SERVER] bloco 178 -> 127.0.0.1:45986
[SERVER] bloco 179 -> 127.0.0.1:45998
[SERVER] bloco 180 -> 127.0.0.1:46012
[SERVER] bloco 181 -> 127.0.0.1:46026
[SERVER] bloco 182 -> 127.0.0.1:46036
[SERVER] bloco 183 -> 127.0.0.1:46048
[SERVER] bloco 184 -> 127.0.0.1:46064
[SERVER] bloco 185 -> 127.0.0.1:46068
[SERVER] bloco 186 -> 127.0.0.1:46084
[SERVER] bloco 187 -> 127.0.0.1:46094
[SERVER] bloco 188 -> 127.0.0.1:46098
[SERVER] bloco 189 -> 127.0.0.1:46104
[SERVER] bloco 190 -> 127.0.0.1:46108
[SERVER] bloco 191 -> 127.0.0.1:46120
[SERVER] bloco 192 -> 127.0.0.1:46134
[SERVER] bloco 193 -> 127.0.0.1:46146
[SERVER] bloco 194 -> 127.0.0.1:46156
[SERVER] bloco 195 -> 127.0.0.1:46172
[SERVER] bloco 196 -> 127.0.0.1:46186
[SERVER] bloco 197 -> 127.0.0.1:46188
[SERVER] bloco 198 -> 127.0.0.1:46196
[SERVER] bloco 199 -> 127.0.0.1:46208
[SERVER] bloco 200 -> 127.0.0.1:46220
[SERVER] bloco 201 -> 127.0.0.1:46222
[SERVER] bloco 202 -> 127.0.0.1:46226
[SERVER] bloco 203 -> 127.0.0.1:46240
[SERVER] bloco 204 -> 127.0.0.1:46252
[SERVER] bloco 205 -> 127.0.0.1:46264
[SERVER] bloco 206 -> 127.0.0.1:46268
[SERVER] bloco 207 -> 127.0.0.1:46276
[SERVER] bloco 208 -> 127.0.0.1:46288
[SERVER] bloco 209 -> 127.0.0.1:46296
[SERVER] bloco 210 -> 127.0.0.1:46310
[SERVER] bloco 211 -> 127.0.0.1:46320
