[META] fileB_5m.bin.meta.json: 1280 blocos x 4096 B  sha256=bb7ba1b51c65ed68...
[SEEDER] 1280 blocos carregados de 'fileB_5m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 0 -> 127.0.0.1:46720
[SERVER] bloco 1 -> 127.0.0.1:46730
[SERVER] bloco 2 -> 127.0.0.1:46742
[SERVER] bloco 3 -> 127.0.0.1:46744
[SERVER] bloco 4 -> 127.0.0.1:46760
[SERVER] bloco 5 -> 127.0.0.1:46766
[SERVER] bloco 6 -> 127.0.0.1:46778
[SERVER] bloco 7 -> 127.0.0.1:46780
[SERVER] bloco 8 -> 127.0.0.1:46786
[SERVER] bloco 9 -> 127.0.0.1:46788
[SERVER] bloco 10 -> 127.0.0.1:46794
[SERVER] bloco 11 -> 127.0.0.1:46800
[SERVER] bloco 12 -> 127.0.0.1:46814
[SERVER] bloco 13 -> 127.0.0.1:46826
[SERVER] bloco 14 -> 127.0.0.1:46838
[SERVER] bloco 15 -> 127.0.0.1:46840
[SERVER] bloco 16 -> 127.0.0.1:46842
[SERVER] bloco 17 -> 127.0.0.1:46844
[SERVER] bloco 18 -> 127.0.0.1:46852
[SERVER] bloco 19 -> 127.0.0.1:46862
[SERVER] bloco 20 -> 127.0.0.1:46874
[SERVER] bloco 21 -> 127.0.0.1:46880
[SERVER] bloco 22 -> 127.0.0.1:46890
[SERVER] bloco 23 -> 127.0.0.1:46902
[SERVER] bloco 24 -> 127.0.0.1:46914
[SERVER] bloco 25 -> 127.0.0.1:46922
[SERVER] bloco 26 -> 127.0.0.1:46938
[SERVER] bloco 27 -> 127.0.0.1:46954
[SERVER] bloco 28 -> 127.0.0.1:46958
[SERVER] bloco 29 -> 127.0.0.1:46968
[SERVER] bloco 30 -> 127.0.0.1:46970
[SERVER] bloco 31 -> 127.0.0.1:46984
[SERVER] bloco 32 -> 127.0.0.1:46990
[SERVER] bloco 33 -> 127.0.0.1:47000
[SERVER] bloco 34 -> 127.0.0.1:47010
[SERVER] bloco 35 -> 127.0.0.1:47012
[SERVER] bloco 36 -> 127.0.0.1:47020
[SERVER] bloco 37 -> 127.0.0.1:47030
[SERVER] bloco 38 -> 127.0.0.1:47032
[SERVER] bloco 39 -> 127.0.0.1:47048
[SERVER] bloco 40 -> 127.0.0.1:47050
[SERVER] bloco 41 -> 127.0.0.1:47060
[SERVER] bloco 42 -> 127.0.0.1:47066
[SERVER] bloco 43 -> 127.0.0.1:47080
[SERVER] bloco 44 -> 127.0.0.1:47092
[SERVER] bloco 45 -> 127.0.0.1:47094
[SERVER] bloco 46 -> 127.0.0.1:47106
[SERVER] bloco 47 -> 127.0.0.1:47122
[SERVER] bloco 48 -> 127.0.0.1:47132
[SERVER] bloco 49 -> 127.0.0.1:47136
[SERVER] bloco 50 -> 127.0.0.1:47138
[SERVER] bloco 51 -> 127.0.0.1:47152
[SERVER] bloco 52 -> 127.0.0.1:47160
[SERVER] bloco 53 -> 127.0.0.1:47164
[SERVER] bloco 54 -> 127.0.0.1:47178
[SERVER] bloco 55 -> 127.0.0.1:47192
[SERVER] bloco 56 -> 127.0.0.1:47202
[SERVER] bloco 57 -> 127.0.0.1:47204
[SERVER] bloco 58 -> 127.0.0.1:47212
[SERVER] bloco 59 -> 127.0.0.1:47216
[SERVER] bloco 60 -> 127.0.0.1:47222
[SERVER] bloco 61 -> 127.0.0.1:47238
[SERVER] bloco 62 -> 127.0.0.1:47250
[SERVER] bloco 63 -> 127.0.0.1:47264
[SERVER] bloco 64 -> 127.0.0.1:47274
[SERVER] bloco 65 -> 127.0.0.1:47276
[SERVER] bloco 66 -> 127.0.0.1:47288
[SERVER] bloco 67 -> 127.0.0.1:47294
[SERVER] bloco 68 -> 127.0.0.1:47306
[SERVER] bloco 69 -> 127.0.0.1:47312
[SERVER] bloco 70 -> 127.0.0.1:47326
[SERVER] bloco 71 -> 127.0.0.1:47342
[SERVER] bloco 72 -> 127.0.0.1:47350
[SERVER] bloco 73 -> 127.0.0.1:47366
[SERVER] bloco 74 -> 127.0.0.1:47368
[SERVER] bloco 75 -> 127.0.0.1:47372
[SERVER] bloco 76 -> 127.0.0.1:47382
[SERVER] bloco 77 -> 127.0.0.1:47390
[SERVER] bloco 78 -> 127.0.0.1:47406
[SERVER] bloco 79 -> 127.0.0.1:47416
[SERVER] bloco 80 -> 127.0.0.1:47428
[SERVER] bloco 81 -> 127.0.0.1:47432
[SERVER] bloco 82 -> 127.0.0.1:47442
[SERVER] bloco 83 -> 127.0.0.1:47456
