[META] fileC_10m.bin.meta.json: 2560 blocos x 4096 B  sha256=a8d923f027ed0245...
[SEEDER] 2560 blocos carregados de 'fileC_10m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 0 -> 127.0.0.1:57950
[SERVER] bloco 1 -> 127.0.0.1:57956
[SERVER] bloco 2 -> 127.0.0.1:57960
[SERVER] bloco 3 -> 127.0.0.1:57972
[SERVER] bloco 4 -> 127.0.0.1:57984
[SERVER] bloco 5 -> 127.0.0.1:57992
[SERVER] bloco 6 -> 127.0.0.1:57996
[SERVER] bloco 7 -> 127.0.0.1:58010
[SERVER] bloco 8 -> 127.0.0.1:58024
[SERVER] bloco 9 -> 127.0.0.1:58026
[SERVER] bloco 10 -> 127.0.0.1:58042
[SERVER] bloco 11 -> 127.0.0.1:58048
[SERVER] bloco 12 -> 127.0.0.1:58056
[SERVER] bloco 13 -> 127.0.0.1:58066
[SERVER] bloco 14 -> 127.0.0.1:58074
[SERVER] bloco 15 -> 127.0.0.1:58090
[SERVER] bloco 16 -> 127.0.0.1:58106
[SERVER] bloco 17 -> 127.0.0.1:58120
[SERVER] bloco 18 -> 127.0.0.1:58134
[SERVER] bloco 19 -> 127.0.0.1:58146
[SERVER] bloco 20 -> 127.0.0.1:58156
[SERVER] bloco 21 -> 127.0.0.1:58158
[SERVER] bloco 22 -> 127.0.0.1:58164
[SERVER] bloco 23 -> 127.0.0.1:58174
[SERVER] bloco 24 -> 127.0.0.1:58176
[SERVER] bloco 25 -> 127.0.0.1:58190
[SERVER] bloco 26 -> 127.0.0.1:58194
[SERVER] bloco 27 -> 127.0.0.1:58204
[SERVER] bloco 28 -> 127.0.0.1:58206
[SERVER] bloco 29 -> 127.0.0.1:58220
[SERVER] bloco 30 -> 127.0.0.1:58234
[SERVER] bloco 31 -> 127.0.0.1:58244
[SERVER] bloco 32 -> 127.0.0.1:58256
[SERVER] bloco 33 -> 127.0.0.1:58270
[SERVER] bloco 34 -> 127.0.0.1:58280
[SERVER] bloco 35 -> 127.0.0.1:58282
[SERVER] bloco 36 -> 127.0.0.1:58292
[SERVER] bloco 37 -> 127.0.0.1:58306
[SERVER] bloco 38 -> 127.0.0.1:58310
[SERVER] bloco 39 -> 127.0.0.1:58312
[SERVER] bloco 40 -> 127.0.0.1:58328
[SERVER] bloco 41 -> 127.0.0.1:58342
[SERVER] bloco 42 -> 127.0.0.1:58356
[SERVER] bloco 43 -> 127.0.0.1:58364
[SERVER] bloco 44 -> 127.0.0.1:58366
[SERVER] bloco 45 -> 127.0.0.1:58368
[SERVER] bloco 46 -> 127.0.0.1:58370
[SERVER] bloco 47 -> 127.0.0.1:58376
[SERVER] bloco 48 -> 127.0.0.1:58390
[SERVER] bloco 49 -> 127.0.0.1:58404
[SERVER] bloco 50 -> 127.0.0.1:58418
[SERVER] bloco 51 -> 127.0.0.1:58430
[SERVER] bloco 52 -> 127.0.0.1:58440
[SERVER] bloco 53 -> 127.0.0.1:58446
[SERVER] bloco 54 -> 127.0.0.1:58454
[SERVER] bloco 55 -> 127.0.0.1:58464
[SERVER] bloco 56 -> 127.0.0.1:58476
[SERVER] bloco 57 -> 127.0.0.1:58482
[SERVER] bloco 58 -> 127.0.0.1:58488
[SERVER] bloco 59 -> 127.0.0.1:58492
[SERVER] bloco 60 -> 127.0.0.1:58498
[SERVER] bloco 61 -> 127.0.0.1:58510
[SERVER] bloco 62 -> 127.0.0.1:58518
[SERVER] bloco 63 -> 127.0.0.1:58528
[SERVER] bloco 64 -> 127.0.0.1:58536
[SERVER] bloco 65 -> 127.0.0.1:58550
[SERVER] bloco 66 -> 127.0.0.1:58560
[SERVER] bloco 67 -> 127.0.0.1:58566
[SERVER] bloco 68 -> 127.0.0.1:58574
[SERVER] bloco 69 -> 127.0.0.1:58580
[SERVER] bloco 70 -> 127.0.0.1:58588
[SERVER] bloco 71 -> 127.0.0.1:58594
[SERVER] bloco 72 -> 127.0.0.1:58598
[SERVER] bloco 73 -> 127.0.0.1:58612
[SERVER] bloco 74 -> 127.0.0.1:58618
[SERVER] bloco 75 -> 127.0.0.1:58624
[SERVER] bloco 76 -> 127.0.0.1:58640
[SERVER] bloco 77 -> 127.0.0.1:58652
[SERVER] bloco 78 -> 127.0.0.1:58668
[SERVER] bloco 79 -> 127.0.0.1:58670
[SERVER] bloco 80 -> 127.0.0.1:58684
[SERVER] bloco 81 -> 127.0.0.1:58700
[SERVER] bloco 82 -> 127.0.0.1:58708
[SERVER] bloco 83 -> 127.0.0.1:58712
[SERVER] bloco 84 -> 127.0.0.1:58728
[SERVER] bloco 85 -> 127.0.0.1:58730
[SERVER] bloco 86 -> 127.0.0.1:58740
[SERVER] bloco 87 -> 127.0.0.1:58756
[SERVER] bloco 88 -> 127.0.0.1:58772
[SERVER] bloco 89 -> 127.0.0.1:58784
[SERVER] bloco 90 -> 127.0.0.1:58796
[SERVER] bloco 91 -> 127.0.0.1:58804
[SERVER] bloco 92 -> 127.0.0.1:58814
[SERVER] bloco 93 -> 127.0.0.1:58822
[SERVER] bloco 94 -> 127.0.0.1:58824
[SERVER] bloco 95 -> 127.0.0.1:58826
[SERVER] bloco 96 -> 127.0.0.1:58828
[SERVER] bloco 97 -> 127.0.0.1:58838
[SERVER] bloco 98 -> 127.0.0.1:58846
[SERVER] bloco 99 -> 127.0.0.1:58858
[SERVER] bloco 100 -> 127.0.0.1:58868
[SERVER] bloco 101 -> 127.0.0.1:58884
[SERVER] bloco 102 -> 127.0.0.1:58896
[SERVER] bloco 103 -> 127.0.0.1:58898
[SERVER] bloco 104 -> 127.0.0.1:58906
[SERVER] bloco 105 -> 127.0.0.1:58914
[SERVER] bloco 106 -> 127.0.0.1:58926
[SERVER] bloco 107 -> 127.0.0.1:58942
[SERVER] bloco 108 -> 127.0.0.1:58952
[SERVER] bloco 109 -> 127.0.0.1:58962
[SERVER] bloco 110 -> 127.0.0.1:58964
[SERVER] bloco 111 -> 127.0.0.1:58974
[SERVER] bloco 112 -> 127.0.0.1:58984
[SERVER] bloco 113 -> 127.0.0.1:58998
[SERVER] bloco 114 -> 127.0.0.1:59002
[SERVER] bloco 115 -> 127.0.0.1:59012
[SERVER] bloco 116 -> 127.0.0.1:59018
[SERVER] bloco 117 -> 127.0.0.1:59022
[SERVER] bloco 118 -> 127.0.0.1:59036
[SERVER] bloco 119 -> 127.0.0.1:59040
[SERVER] bloco 120 -> 127.0.0.1:59052
[SERVER] bloco 121 -> 127.0.0.1:59068
[SERVER] bloco 122 -> 127.0.0.1:59076
[SERVER] bloco 123 -> 127.0.0.1:59088
[SERVER] bloco 124 -> 127.0.0.1:59096
[SERVER] bloco 125 -> 127.0.0.1:59112
[SERVER] bloco 126 -> 127.0.0.1:59120
[SERVER] bloco 127 -> 127.0.0.1:59122
[SERVER] bloco 128 -> 127.0.0.1:59130
[SERVER] bloco 129 -> 127.0.0.1:59134
[SERVER] bloco 130 -> 127.0.0.1:59138
[SERVER] bloco 131 -> 127.0.0.1:59152
[SERVER] bloco 132 -> 127.0.0.1:59166
[SERVER] bloco 133 -> 127.0.0.1:59180
[SERVER] bloco 134 -> 127.0.0.1:59196
[SERVER] bloco 135 -> 127.0.0.1:59204
[SERVER] bloco 136 -> 127.0.0.1:59218
[SERVER] bloco 137 -> 127.0.0.1:59234
[SERVER] bloco 138 -> 127.0.0.1:59244
[SERVER] bloco 139 -> 127.0.0.1:59246
[SERVER] bloco 140 -> 127.0.0.1:59256
[SERVER] bloco 141 -> 127.0.0.1:59272
[SERVER] bloco 142 -> 127.0.0.1:59278
[SERVER] bloco 143 -> 127.0.0.1:59288
[SERVER] bloco 144 -> 127.0.0.1:59292
[SERVER] bloco 145 -> 127.0.0.1:59294
[SERVER] bloco 146 -> 127.0.0.1:59298
[SERVER] bloco 147 -> 127.0.0.1:59306
[SERVER] bloco 148 -> 127.0.0.1:59320
[SERVER] bloco 149 -> 127.0.0.1:59324
[SERVER] bloco 150 -> 127.0.0.1:59326
[SERVER] bloco 151 -> 127.0.0.1:59332
[SERVER] bloco 152 -> 127.0.0.1:59336
[SERVER] bloco 153 -> 127.0.0.1:59348
[SERVER] bloco 154 -> 127.0.0.1:59352
[SERVER] bloco 155 -> 127.0.0.1:59354
[SERVER] bloco 156 -> 127.0.0.1:59362
[SERVER] bloco 157 -> 127.0.0.1:59376
[SERVER] bloco 158 -> 127.0.0.1:59384
[SERVER] bloco 159 -> 127.0.0.1:59398
[SERVER] bloco 160 -> 127.0.0.1:59406
[SERVER] bloco 161 -> 127.0.0.1:59420
[SERVER] bloco 162 -> 127.0.0.1:59428
[SERVER] bloco 163 -> 127.0.0.1:59432
[SERVER] bloco 164 -> 127.0.0.1:59444
[SERVER] bloco 165 -> 127.0.0.1:59448
[SERVER] bloco 166 -> 127.0.0.1:59460
[SERVER] bloco 167 -> 127.0.0.1:59464
[SERVER] bloco 168 -> 127.0.0.1:59480
[SERVER] bloco 169 -> 127.0.0.1:59488
[SERVER] bloco 170 -> 127.0.0.1:59504
[SERVER] bloco 171 -> 127.0.0.1:59506
[SERVER] bloco 172 -> 127.0.0.1:59514
[SERVER] bloco 173 -> 127.0.0.1:59530
[SERVER] bloco 174 -> 127.0.0.1:59544
[SERVER] bloco 175 -> 127.0.0.1:59556
[SERVER] bloco 176 -> 127.0.0.1:59558
[SERVER] bloco 177 -> 127.0.0.1:59574
[SERVER] bloco 178 -> 127.0.0.1:59590
[SERVER] bloco 179 -> 127.0.0.1:59604
[SERVER] bloco 180 -> 127.0.0.1:59608
[SERVER] bloco 181 -> 127.0.0.1:59612
[SERVER] bloco 182 -> 127.0.0.1:59628
[SERVER] bloco 183 -> 127.0.0.1:59644
[SERVER] bloco 184 -> 127.0.0.1:59650
[SERVER] bloco 185 -> 127.0.0.1:59656
[SERVER] bloco 186 -> 127.0.0.1:59672
[SERVER] bloco 187 -> 127.0.0.1:59680
[SERVER] bloco 188 -> 127.0.0.1:59690
[SERVER] bloco 189 -> 127.0.0.1:59704
[SERVER] bloco 190 -> 127.0.0.1:59708
[SERVER] bloco 191 -> 127.0.0.1:59718
[SERVER] bloco 192 -> 127.0.0.1:59724
[SERVER] bloco 193 -> 127.0.0.1:59738
[SERVER] bloco 194 -> 127.0.0.1:59746
[SERVER] bloco 195 -> 127.0.0.1:59748
[SERVER] bloco 196 -> 127.0.0.1:59752
[SERVER] bloco 197 -> 127.0.0.1:59768
[SERVER] bloco 198 -> 127.0.0.1:59776
[SERVER] bloco 199 -> 127.0.0.1:59788
[SERVER] bloco 200 -> 127.0.0.1:59804
[SERVER] bloco 201 -> 127.0.0.1:59808
[SERVER] bloco 202 -> 127.0.0.1:59816
[SERVER] bloco 203 -> 127.0.0.1:59830
[SERVER] bloco 204 -> 127.0.0.1:59840
[SERVER] bloco 205 -> 127.0.0.1:59852
[SERVER] bloco 206 -> 127.0.0.1:59856
[SERVER] bloco 207 -> 127.0.0.1:59872
[SERVER] bloco 208 -> 127.0.0.1:59888
[SERVER] bloco 209 -> 127.0.0.1:59890
[SERVER] bloco 210 -> 127.0.0.1:59902
[SERVER] bloco 211 -> 127.0.0.1:59916
[SERVER] bloco 212 -> 127.0.0.1:59928
[SERVER] bloco 213 -> 127.0.0.1:59940
[SERVER] bloco 214 -> 127.0.0.1:59950
[SERVER] bloco 215 -> 127.0.0.1:59960
[SERVER] bloco 216 -> 127.0.0.1:59962
[SERVER] bloco 217 -> 127.0.0.1:59964
[SERVER] bloco 218 -> 127.0.0.1:59980
[SERVER] bloco 219 -> 127.0.0.1:59990
[SERVER] bloco 220 -> 127.0.0.1:60000
[SERVER] bloco 221 -> 127.0.0.1:60010
[SERVER] bloco 222 -> 127.0.0.1:60022
[SERVER] bloco 223 -> 127.0.0.1:60038
[SERVER] bloco 224 -> 127.0.0.1:60040
[SERVER] bloco 225 -> 127.0.0.1:60046
[SERVER] bloco 226 -> 127.0.0.1:60050
[SERVER] bloco 227 -> 127.0.0.1:60058
[SERVER] bloco 228 -> 127.0.0.1:60064
[SERVER] bloco 229 -> 127.0.0.1:60078
[SERVER] bloco 230 -> 127.0.0.1:60088
[SERVER] bloco 231 -> 127.0.0.1:60090
[SERVER] bloco 232 -> 127.0.0.1:60094
[SERVER] bloco 233 -> 127.0.0.1:60100
[SERVER] bloco 234 -> 127.0.0.1:60116
[SERVER] bloco 235 -> 127.0.0.1:60120
[SERVER] bloco 236 -> 127.0.0.1:60128
[SERVER] bloco 237 -> 127.0.0.1:60132
[SERVER] bloco 238 -> 127.0.0.1:60148
[SERVER] bloco 239 -> 127.0.0.1:60150
[SERVER] bloco 240 -> 127.0.0.1:60154
[SERVER] bloco 241 -> 127.0.0.1:60168
[SERVER] bloco 242 -> 127.0.0.1:60180
[SERVER] bloco 243 -> 127.0.0.1:60184
[SERVER] bloco 244 -> 127.0.0.1:60188
[SERVER] bloco 245 -> 127.0.0.1:60200
[SERVER] bloco 246 -> 127.0.0.1:60212
